id,name,common,layer,old_aud_rows,new_aud_rows,old_bird_score_v0_3,new_bird_score_audubon_fixed,claims,guildClaims,speciesClaims,ecological,balanced,note
PLT0243,Acer negundo,Box Elder,Target-zone master list,63,15,35.2,16.2,252,15,237,40.3,62.1,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0032,Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Target-zone master list,63,15,35.2,16.2,42,16,26,31.5,49.3,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0245,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Target-zone master list,63,15,35.2,18.5,68,20,48,29.6,50.9,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0007,Aristida purpurea,"Purple Threeawn, Purple 3-awn, Purple Three-awn, Red Threeawn",Target-zone master list,63,15,35.7,18.5,22,16,6,16.4,33.4,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0045,Asclepias tuberosa,"Butterflyweed, Butterfly Weed, Butterfly Milkweed, Orange Milkweed, Pleurisy Root, Chigger Flower, Chiggerweed",Target-zone master list,63,15,35.2,16.2,66,16,50,35.7,52.9,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0009,Bouteloua curtipendula,"Sideoats Grama, Banderilla, Banderita, Navajita",Target-zone master list,63,15,35.2,16.2,52,15,37,23.9,42.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0182,Callicarpa americana,"American Beautyberry , French Mulberry",Target-zone master list,63,15,35.2,16.2,25,15,10,16.5,34.9,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0247,Carya illinoinensis,Pecan,Target-zone master list,63,15,35.2,16.2,333,16,317,53.3,76.6,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
CAND0929,Celtis laevigata var. laevigata,,Outside-master review layer,63,15,35.2,16.2,15,15,0,3.9,10.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
CAND0930,Celtis laevigata var. reticulata,,Outside-master review layer,63,15,35.2,16.2,15,15,0,3.9,10.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0184,Cephalanthus occidentalis,"Common Buttonbush, Buttonbush, Button Willow, Honey Bells, Honeybells, Honey Balls, Honeyballs, Button-bush",Target-zone master list,63,15,35.7,18.5,90,19,71,38.9,59.0,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
PLT0013,Chasmanthium latifolium,"Inland Sea Oats, Indian Wood Oats, Wild Oats, River Oats, Flathead Oats, Upland Oats, Upland Sea Oats",Target-zone master list,63,15,35.2,16.2,25,15,10,17.2,34.5,"Balanced v0.16 scoring: the strongest documented target-zone plant is used as the 100-point benchmark, so oaks can function as the visible reference standard when they are the top documented performers. Ecological score is direct animal-use signal relative to the benchmark. Balanced score keeps evidence quality, target-zone confidence, native weighting, and non-native/invasive penalties. A low category score usually means no verified direct record is currently in this dataset, not that the plant has no ecological value. Audubon rows were repaired in v0.3-audubon-fix: broad May Attract groups are retained as trusted profile support, not species-level direct interaction rows."
