mammal_scientific_name,mammal_common_name,native_or_management_layer,occurrence_scope,soil_role,engineering_category,soil_or_microhabitat_target,plant_ecosystem_relevance,impact_for_native_restoration,evidence_grade,locality_scope,public_status,review_needed,public_note,source_summary,source_url
Dasypus mexicanus / Dasypus novemcinctus legacy complex,Nine-banded Armadillo,native,Strong Central Texas occurrence; exact Hays filter optional,habitat_filter_soil_texture,soil_habitat_dependency,sandy/light soils vs heavy clay soils,"Soil texture changes where armadillos dig, den, and forage; affects local disturbance frequency.",mixed_native_beneficial_or_neutral,B_regional_species_account,Central Texas / Edwards Plateau / Blackland Prairies,import_to_soil_layer,taxonomy_review_only,Use as a native soil-disturbance and shelter-row; do not join to plant taxa.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Dasypus mexicanus / Dasypus novemcinctus legacy complex,Nine-banded Armadillo,native,Strong Central Texas occurrence; exact Hays filter optional,digs_burrows,burrow_creation,creek banks; sandy soils; limestone cracks/crevices,Burrows and shallow excavations can create small bare-soil patches and shelter spaces.,mixed_native_beneficial_or_neutral,A_or_B_central_texas_species_account,Central Texas / Edwards Plateau,import_to_soil_layer,taxonomy_review_only,Most useful armadillo soil row for Hays/Edwards Plateau dashboard.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Dasypus mexicanus / Dasypus novemcinctus legacy complex,Nine-banded Armadillo,native,Strong Central Texas occurrence; exact Hays filter optional,digs_for_ground_invertebrates,foraging_disturbance,leaf litter / shallow soil surface,Foraging pits expose soil and disturb microhabitats while accessing insects and other invertebrates.,mixed_native_beneficial_or_neutral,B_regional_species_account,Texas general with Central Texas context,import_to_soil_layer,taxonomy_review_only,Connects soil moisture/hardness to invertebrate-foraging activity.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Scalopus aquaticus,Eastern Mole,native,Central Texas review; strong only where GBIF or local records support occurrence,subsurface_tunneling,tunnel_creation,moist sandy soils; shallow subsurface,Creates underground tunnels and raises soil; can affect roots and surface hydrology at small scale.,mixed_native_beneficial_or_neutral,C_texas_species_account_occurrence_review,Texas general / eastern Texas; local occurrence review needed,import_review_occurrence,yes_occurrence_review,Include only if local occurrence is accepted for Hays/Central Texas.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Scalopus aquaticus,Eastern Mole,native,Central Texas review; strong only where GBIF or local records support occurrence,aerates_soil,soil_aeration,burrowed soil / lawn-like sod / root zone,Burrowing can aerate soil; may also damage sod locally.,mixed_native_beneficial_or_neutral,C_texas_species_account_occurrence_review,Texas general / eastern Texas; local occurrence review needed,import_review_occurrence,yes_occurrence_review,"Useful as an ecosystem-function row, but occurrence in Hays should be checked.","Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Taxidea taxus,American Badger,native,Low-count Central Texas occurrence; review before public map,excavates_prey_burrows,predator_excavation,"burrows of ground squirrels, pocket gophers, and other fossorial prey",Creates larger soil excavations while hunting; can open bare soil and unused burrow structures.,native_disturbance_beneficial_or_neutral,B_texas_species_account_occurrence_review,Texas general; Central Texas occurrence review,import_review_occurrence,yes_occurrence_review,Do not overstate Hays occurrence; treat as review/occasional regional mammal.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Sus scrofa,Feral Hog,management_non_native,Strong Central Texas occurrence; management layer,creates_wallows,wallow_creation,"mud near ponds, marshes, ditches, standing water",Wallowing creates muddy depressions and localized vegetation loss; not a native-benefit row.,negative_management_concern,B_texas_species_account_management,Texas general / Central Texas management layer,import_management_layer,no,"Keep visible as management impact, not native relationship.","Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Sus scrofa,Feral Hog,management_non_native,Strong Central Texas occurrence; management layer,roots_soil_for_food,rooting_disturbance,"soil surface, roots, bulbs, invertebrates",Rooting can uproot vegetation and disturb seedbeds; can reduce native plant establishment.,negative_management_concern,B_texas_species_account_management,Texas general / Central Texas management layer,import_management_layer,no,High-priority management layer; keep separate from native mammal functions.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Sus scrofa,Feral Hog,management_non_native,Strong Central Texas occurrence; management layer,reduces_local_plant_richness_by_rooting,vegetation_soil_disturbance,rooted ground and disturbed plant community,Rooting can reduce number of plant species at a site; relevant to restoration monitoring.,negative_management_concern,B_texas_species_account_management,Texas general / Central Texas management layer,import_management_layer,no,"Use as a negative edge or warning layer, not as plant-food interaction.","Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Sus scrofa,Feral Hog,management_non_native,Strong Central Texas occurrence; management layer,creates_rough_soil_surface,surface_disruption,"fields, pastures, disturbed ground",Creates rough ground that complicates management and restoration work.,negative_management_concern,C_texas_species_account_management,Texas general / management layer,import_management_layer,no,Useful for municipal land management notes.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Pecari tajacu,Collared Peccary,native,Central/South Texas review; use if occurrence accepted,surface_foraging_minor_disturbance,minor_surface_disturbance,"wood, cactus, sandy/loose soil surface",Minor surface disturbance; much weaker than feral hog rooting.,native_neutral,C_texas_species_account_occurrence_review,Texas general / South and Central Texas review,optional_review_layer,yes_occurrence_review,Good contrast row: native peccary disturbance is not equivalent to hog rooting.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys texensis,Llano Pocket Gopher,native,Hill Country/Central Texas occurrence; likely high relevance but exact Hays status needs boundary filter,creates_mounds,mound_creation,soil mounds,Mounds create bare-soil patches and microsites for plant recruitment or erosion depending context.,native_ecosystem_engineer,B_hill_country_species_account_inferred,Hill Country / central Texas,import_review_occurrence,yes_exact_hays_review,Priority pocket-gopher row for the local dashboard; use GBIF folder if you want Hays boundary confidence.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys texensis,Llano Pocket Gopher,native,Hill Country/Central Texas occurrence; likely high relevance but exact Hays status needs boundary filter,tunnels_belowground,subsurface_tunneling,underground galleries/root zone,Subsurface tunnels mix soil and create underground space; plant roots may be affected.,native_ecosystem_engineer,B_hill_country_species_account_inferred,Hill Country / central Texas,import_review_occurrence,yes_exact_hays_review,Use as species-level row only after occurrence table accepts G. texensis for the target zone.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys texensis,Llano Pocket Gopher,native,Hill Country/Central Texas occurrence; likely high relevance but exact Hays status needs boundary filter,subsurface_herbivory,root_zone_interaction,plant roots/stems encountered underground,Potentially links mammal burrowing with plant root herbivory; keep separate from aboveground plant-food records.,native_ecosystem_engineer,C_inferred_from_related_account,Hill Country / central Texas,import_review_occurrence,yes_exact_hays_review,Flag as inferred from related species account; not direct G. texensis plant list.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys bursarius,Plains Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,creates_mounds,mound_creation,soil mounds,Mounds create bare-soil microsites and modify soil surface structure.,native_ecosystem_engineer,C_texas_account_not_primary_hays,North-central/western Texas; Central Texas review,optional_review_layer,yes_occurrence_review,Use as general gopher process reference; not primary Hays species.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys bursarius,Plains Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,tunnels_belowground,subsurface_tunneling,underground galleries/root zone,Tunnels mix soil and create belowground pathways; effects depend on site and density.,native_ecosystem_engineer,C_texas_account_not_primary_hays,North-central/western Texas; Central Texas review,optional_review_layer,yes_occurrence_review,Use as general gopher process reference; not primary Hays species.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys attwateri,Attwater’s Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,creates_mounds,mound_creation,soil mounds,Mounds create bare-soil microsites and modify soil surface structure.,native_ecosystem_engineer,C_texas_account_occurrence_review,South-central/eastern Texas; Central Texas review,optional_review_layer,yes_occurrence_review,Useful if GBIF folder confirms target-zone occurrence.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys attwateri,Attwater’s Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,tunnels_belowground,subsurface_tunneling,underground galleries/root zone,Tunnels mix soil and create belowground pathways; effects depend on site and density.,native_ecosystem_engineer,C_texas_account_occurrence_review,South-central/eastern Texas; Central Texas review,optional_review_layer,yes_occurrence_review,Useful if GBIF folder confirms target-zone occurrence.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys breviceps,Baird’s Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,creates_mounds,mound_creation,soil mounds,Mounds create bare-soil microsites and modify soil surface structure.,native_ecosystem_engineer,C_texas_account_occurrence_review,East Texas/Post Oak Savannah; Central Texas review,optional_review_layer,yes_occurrence_review,Possible eastern edge relevance; check Hays boundary before import.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys breviceps,Baird’s Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,tunnels_belowground,subsurface_tunneling,underground galleries/root zone,Tunnels mix soil and create belowground pathways; effects depend on site and density.,native_ecosystem_engineer,C_texas_account_occurrence_review,East Texas/Post Oak Savannah; Central Texas review,optional_review_layer,yes_occurrence_review,Possible eastern edge relevance; check Hays boundary before import.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Cratogeomys castanops,Yellow-faced Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,creates_mounds,mound_creation,soil mounds,Mounds create bare-soil microsites and modify soil surface structure.,native_ecosystem_engineer,C_texas_account_not_primary_hays,West Texas/range-edge; Central Texas review,hold_review,yes_occurrence_review,Probably not a Hays priority; keep in review queue.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Cratogeomys castanops,Yellow-faced Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,tunnels_belowground,subsurface_tunneling,underground galleries/root zone,Tunnels mix soil and create belowground pathways; effects depend on site and density.,native_ecosystem_engineer,C_texas_account_not_primary_hays,West Texas/range-edge; Central Texas review,hold_review,yes_occurrence_review,Probably not a Hays priority; keep in review queue.,"Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
Geomys personatus,Texas Pocket Gopher,native,Use only if occurrence layer accepts species for dashboard extent,creates_mounds,mound_creation,soil mounds,Mounds create bare-soil microsites and modify soil surface structure.,native_ecosystem_engineer,C_texas_account_not_primary_hays,South Texas/coastal plain; Central Texas review,hold_review,yes_occurrence_review,"Important soil engineer, but likely not Hays priority.","Schmidly & Bradley 2016, The Mammals of Texas, 7th ed.",https://doi.org/10.7560/308868
